Consti#,Constituency,Margin
1,Gummidipoondi,51.67
2,Ponneri,35.89
3,Tiruttani,46.56
4,Thiruvallur,50.14
5,Poonamallee,45.39
6,Avadi,39.94
7,Maduravoyal,32.09
8,Ambattur,47.41
9,Madavaram,0
10,Thiruvottiyur,43.96
11,Dr.Radhakrishnan Nagar,0
12,Perambur,42.64
13,Kolathur,60.76
14,Villivakkam,52.07
15,Thiru-Vi-Ka-Nagar,41.15
16,Egmore,49.33
17,Royapuram,46.6
18,Harbour,0
19,Chepauk-Thiruvallikeni,0
20,Thousand Lights,23.88
21,Anna Nagar,16.62
22,Virugampakkam,43.92
23,Saidapet,41.63
24,Thiyagarayanagar,34.57
25,Mylapore,34.87
26,Velachery,30.74
27,Shozhinganallur,44.07
28,Alandur,17.06
29,Sriperumbudur,43.54
30,Pallavaram,39.41
31,Tambaram,46.85
32,Chengalpattu,-9.73
33,Thiruporur,32.43
34,Cheyyur,2.26000000000001
35,Madurantakam,-1.91999999999999
36,Uthiramerur,38.96
37,Kancheepuram,0
38,Arakkonam,41.28
39,Sholingur,0
40,Katpadi,45.61
41,Ranipet,44.86
42,Arcot,0
43,Vellore,0
44,Anaikattu,44
45,Kilvaithinankuppam,42.81
46,Gudiyattam,-47.21
47,Vaniyambadi,0
48,Ambur,45.15
49,Jolarpet,0
50,Tirupattur,45.39
51,Uthangarai,52.9
52,Bargur,48.81
53,Krishnagiri,40.12
54,Veppanahalli,45.79
55,Hosur,4.98
56,Thalli,60.23
57,Palacode,49.55
58,Pennagaram,49.76
59,Dharmapuri,0
60,Pappireddippatti,0
61,Harur,44.38
62,Chengam,42.87
63,Tiruvannamalai,0
64,Kilpennathur,51.27
65,Kalasapakkam,47.73
66,Polur,43.33
67,Arani,41.76
68,Cheyyar,47.65
69,Vandavasi,49.89
70,Gingee,52.91
71,Mailam,41.08
72,Tindivanam,5.34
73,Vanur,45.9
74,Villupuram,0
75,Vikravandi,44.17
76,Tirukkoyilur,0
77,Ulundurpettai,43.47
78,Rishivandiyam,0
79,Sankarapuram,51.58
80,Kallakurichi,41.7
81,Gangavalli,3.94
82,Attur,42.6
83,Yercaud,-10.86
84,Omalur,57.11
85,Mettur,42.32
86,Edappadi,63.29
87,Sankari,45.04
88,Salem (West),43.77
89,Salem (North),0
90,Salem (South),43.67
91,Veerapandi,49.34
92,Rasipuram,0.989999999999995
93,Senthamangalam,39.66
94,Namakkal,51.04
95,Paramathi-Velur,40.47
96,Tiruchengodu,1.54
97,Kumarapalayam,0
98,Erode (East),36.62
99,Erode (West),48.73
100,Modakkurichi,-0.149999999999999
101,Dharapuram (SC),-0.719999999999999
102,Kangayam,0
103,Perundurai,0
104,Bhavani,44.91
105,Anthiyur,44.75
106,Gobichettipalayam,45.21
107,Bhavanisagar,45.2
108,Udhagamandalam,
109,Gudalur,0
110,Coonoor,0
111,Mettuppalayam,40.15
112,Avanashi (SC),41.88
113,Tiruppur (North),48.93
114,Tiruppur (South),0
115,Palladam,37.61
116,Sulur,47.53
117,Kavundampalayam,0
118,Coimbatore (North),38.01
119,Thondamuthur,40.04
120,Coimbatore (South),48.86
121,Singanallur,-1.12
122,Kinathukadavu,36.08
123,Pollachi,0
124,Valparai,41.83
125,Udumalaipettai,44.11
126,Madathukulam,45.65
127,Palani,42.92
128,Oddanchatram,52.61
129,Athoor,58.96
130,Nilakkottai,-14.94
131,Natham,0
132,Dindigul,46.27
133,Vedasandur,45.98
134,,48.66
135,Karur,49.03
136,Krishnarayapuram,-17.49
137,Kulithalai,50.67
138,Manapparai,35.46
139,Srirangam,39.95
140,Tiruchirappalli (West),64.4
141,Tiruchirappalli (East),0
142,Thiruverumbur,53.4
143,Lalgudi,39.29
144,Manachanallur,58.91
145,Musiri,42.47
146,Thuraiyur,12.55
147,Perambalur,43.09
148,Kunnam,47.22
149,Ariyalur,40.68
150,Jayankondam,43.83
151,Tittagudi (SC),43.48
152,Vridhachalam,26
153,Neyveli,45.67
154,Panruti,44.28
155,Cuddalore,0
156,Kurinjipadi,8.82
157,Bhuvanagiri,48.76
158,Chidambaram,49.4
159,Kattumannarkoil(SC),45.14
160,Sirkazhi,43.4
161,Mayiladuthurai,0
162,Poompuhar,39.11
163,Nagapattinam,43.73
164,Kilvelur,36.94
165,Vedaranyam,0
166,Thiruthuraipoondi,43.97
167,Mannargudi,0
168,Thiruvarur,39.66
169,Nannilam,40.65
170,Thiruvidaimarudur,42.63
171,Kumbakonam,0
172,Papanasam,42.92
173,Thiruvaiyaru,0
174,Thanjavur,44.34
175,Orathanadu,0
176,Pattukkottai,38.56
177,Peravurani,0
178,Gandharvakottai,8.07
179,Viralimalai,49.19
180,Pudukkottai,0
181,Thirumayam,0
182,Alangudi,51.07
183,Aranthangi,0
184,Karaikudi,35.42
185,Tiruppattur,48.98
186,Sivaganga,29.52
187,Manamadurai,-6.94
188,Melur,0
189,Madurai East,44.16
190,Sholavandan,46
191,Madurai North,36.86
192,Madurai South,42.37
193,Madurai Central,41.48
194,Madurai West,4.52
195,Thiruparankundram,12.5
196,Thirumangalam,40.25
197,Usilampatti,0
198,Andipatti,44.57
199,Periyakulam,39.87
200,Bodinayakanur,46.53
201,Cumbum,45.71
202,Rajapalayam,0
203,Srivilliputhur,25.29
204,Sattur,37.77
205,Sivakasi,9.36
206,Virudhunagar,0
207,Aruppukkottai,45.94
208,Tiruchuli,51.17
209,Paramakudi,37.57
210,Tiruvadanai,0
211,Ramanathapuram,0
212,Mudhukulathur,9.37
213,Vilathikulam,50.07
214,Thoothukkudi,-26.71
215,Tiruchendur,49.45
216,Srivaikuntam,46.69
217,Ottapidaram,40.03
218,Kovilpatti,32.8
219,Sankarankovil,2.89
220,Vasudevanallur,37
221,Kadayanallur,38.14
222,Tenkasi,0
223,Alangulam,1.73999999999999
224,Tirunelveli,37
225,Ambasamudram,40.23
226,Palayamkottai,48.08
227,Nanguneri,39.07
228,Radhapuram,43.7
229,Kanniyakumari,42.48
230,Nagercoil,47.62
231,Colachel,39.61
232,Padmanabhapuram,50.82
233,Vilavancode,-17.08
234,Killiyoor,59.11
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
